,complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,latitude,longitude,totalHouseholdCount,totalBuildingCount,highFloor,lowFloor,useApproveYmd,dealCount,leaseCount,rentCount,shortTermRentCount,cortarAddress,gu_cortarNo,gu_cortarName,dong_cartarName
30,667,우성3차,1168010300,APT,아파트,652,37.483998,127.056011,405.0,5.0,15.0,15.0,19841231,36.0,55.0,23.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
31,770,우성6차,1168010300,APT,아파트,658-1,37.476763,127.05721,270.0,8.0,5.0,5.0,19871121,29.0,10.0,3.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
32,818,우성8차,1168010300,APT,아파트,179,37.488147,127.062246,261.0,3.0,9.0,9.0,19870921,15.0,19.0,6.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
33,102377,우찬현대(101),1168010300,APT,아파트,1260-11,37.479471,127.048752,15.0,1.0,6.0,6.0,20060626,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
34,102378,우찬현대(102),1168010300,APT,아파트,1260-4,37.479518,127.04908,10.0,1.0,6.0,6.0,20060626,0.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
35,102379,우찬현대(103),1168010300,APT,아파트,1260-2,37.479506,127.048628,10.0,1.0,6.0,6.0,20060626,1.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
36,110128,포이벨리,1168010300,APT,아파트,1164-28,37.47462,127.055156,10.0,1.0,6.0,6.0,20011231,1.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
37,113016,한림,1168010300,APT,아파트,1164-20,37.473981,127.054096,12.0,1.0,7.0,7.0,20020311,3.0,0.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
38,1317,현대1차,1168010300,APT,아파트,653,37.482427,127.05447,416.0,6.0,13.0,13.0,19840420,23.0,43.0,18.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
39,1321,현대2차,1168010300,APT,아파트,654,37.482796,127.051051,558.0,13.0,9.0,9.0,19860131,26.0,41.0,15.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
40,1327,현대3차,1168010300,APT,아파트,177,37.488014,127.061354,198.0,5.0,9.0,9.0,19860331,12.0,11.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
41,16229,현대빌라트,1168010300,APT,아파트,1165,37.474059,127.053694,14.0,1.0,8.0,7.0,19971224,1.0,1.0,0.0,0.0,서울시 강남구 개포동,1168000000,강남구,개포동
0,140453,N168(도시형),1168010800,APT,아파트,128-6,37.513061,127.029552,132.0,1.0,9.0,8.0,20210305,0.0,0.0,3.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
1,17533,강남파라곤(주상복합),1168010800,APT,아파트,241-1,37.516614,127.040137,58.0,1.0,20.0,12.0,20070130,9.0,2.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
